text,label
"However in popular opinion, the first thing that comes to people’s mind is a figure of a strong, sturdy man who fights bad guys or monsters. But how was this stereotype planted into our brain? Just like most of us believe that justice will prevail, in our subconscious we always hope that an undefeatable being who’s on our side would protect us from the danger and injustice in our life. Furthermore, this is the reason why superman-like heroes were born. Throughout the history, human have always created this kind of super-human character in fantasy, to create a figure for them to worship; in 2500BC Sumer we got Gilgamesh, in 1000 BC Israel we got King David, in 600BC Greece we got Heracles, in 200AC China we got Guan Yu, in 500AC England we got King Arthur, in Medieval German we got Siegfried, in 18th century Spain we got Zorro, in 1990s America we got action movie heroes, and now we have marvel super heroes.",human
"Heroism, an ideology that was implanted in mankind since the ancient time, has been a significant factor that influence our thinking, culture, literature, or even our daily life. From Gilgamesh to Superman, we always wish that there’s a hero who can protect us from danger. While in present, someone believe that things need to be done by humans; not gods, not heroes, but humans. As a consequence of this thinking, it’s the rise of anti-heroism. Finally, the bandwagon effect cause by heroism can cause a lot of problems to the society. People who are hypnotized by the idea believe their own fantasy, they can harm others or themselves very easily. In conclusion, a hero is a being with limited power, it has its own justice and it will never betray it, it knows its limit and it will not be arrogant, it knows what it must do and it will achieve it; lastly, a hero can be anybody.",human
"“Humph!” the white man grunted. They had arrived at their destination during his complaint. It was a run-down shed on the brink of the plantation, doubling as the entrance of an ownerless woods. “Clean it up before sunset. Or else the tip of a whip is the only thing you will taste tonight!” The cabin was really shabby; it was nearly impossible to renovate it before dusk, yet Tom didn’t talk back, because he knew it would only bring him more lashes. Fat Eric soon left after he assigned the task, while Tom worked hard for fear of whipping. During the process, Tom couldn’t help but wonder what or who this cottage was for as the building was obviously too small as a storage house; however, the whites would neither live in such garbage heap nor give the slaves a house. Tom didn’t have enough time to reach the answer before sunset, he bore several lashes that night.",human
"Hearing his master’s demand, Tom had no other choice but to accept it. Though he had no knowledge of taking care of others before, he still tried his best to keep good old Irwin safe and sound. Irwin spent most of his days spacing out and Tom came to his cabin every two hours to confirm his well-being and bring him meals. Once he wondered why the old man got such a retirement for average slaves who were usually worked to death, yet he couldn’t get any clues from the deranged senior or his ill-tempered master. Life continued like this for a few months and Tom kind of liked it; not only because he could get some exemption from manual labor, but also reduced the chance of him meeting Eric, which further spared him from possible whipping. However, the peaceful daily routine didn’t last long, tension rose in the South as a white man was hanged for inciting slave rebellion, rumors spread all over the county, the detest and fear in the whites’ eyes grew more and more obvious with each passing day. To make matters worse, several guns went missing from the arsenal while Mr. Jackson, the owner of the plantation, suspected that it was the slaves who stole the firearms and planned to overthrow him. ",human
"Research 2 started with a hypothesis: we are either born into or socialized into hating a sound. Seidle first analyzed people’s preference of sound and found that high intensity high frequency sound is not universally hated, for example people showed a significantly higher preference for baby crying than fork scratching on plate. He then compared the sound preference of general USA citizens and Tsimane people from Amazon rainforest, and Tsimane people who live in San Borja and those who remained in the jungle. He found that high intensity sound is much less preferable to the population living in industrialized areas. Another experiment Seidel conducted was to investigate young children’s sound preference, it was surprising to him that children from 3 to 6 years old barely show any sound aversion, and the kids from 7 to 10 showed, even though not as strong as adults’, a relatively more skewed aversion for sounds. Thus Seidel concluded that sound preference is a trait that was learned through socialization, not a biological factor.",human
"Research 4 asked an important question: though having the same answer to a question, do AIs have the same thought process like a human being. The purpose of this research is to mass produce auditory response data through convolutional neural networks of artificial intelligence, since it is cheaper and quicker than hiring human participants. But before that Seidel needs to prove that AI processes audio information like humans, else the data will be pointless. After comparing the cortical firing pattern of the human brain with thousands of layers of tensors in AI models, he finally confirmed that one specific layer responds similarly to the human brain when processing audio. He also found that AIs trained to multi-task function more similarly than those designed to concentrate on a single task. Thus Seidel concluded though still needing more research, some AI models may be plausible for mass producing experiment data with near-perfect accuracy. As a computer science student concentrating in machine learning, I look forward to real world application of this research.",human
"However, even putting the non-STEM courses in consideration, ANTH 100 is a very “broad” course. The content of this course is so broad that there is no other definition for this course other than “study about humans”. Throughout this semester we went from the biological evolution of human species to history of racial theories then jumping back and forth to topics like formation of a society, gender and sex, and a variety of different subjects, branching out to sociology, linguistics, politics, and more fields of studies. This is exactly what I like about this course: it is like reading the encyclopedia for the first time when I was eight, I learned so much interesting new knowledge that I will probably never learn if I did not take ANTH 100. I especially love the videos incorporated into the lectures, the two videos that impressed me the most are the documentary on Mongolian nomads and the breakdown of fictional languages. The documentary shocked me with the existence of modernized nomads herding sheep on motorbikes, and as a hardcore Lord of the Ring who studied Khuzdul in junior high, I genuinely enjoyed learning other fictional languages. ",human
"The most visually-stunning artwork was an installation art by Makena Thompson, or Unangax̂ of Egegik by her Inuit name. It was a gillnet woven with multiple materials and several decoration pieces. The art was inspired by Thompson’s Nana (grandma) in Alaska, who worked in commercial salmon fishing that raised two generations of her descendents. In honor of her Nana and the traditional Inuit way of living, fishnet became the core of Thompson’s art. The center piece is the traditional salmon gillnet, but the edge is woven with nylon of different colors, symbolizing the blend of tradition and modern cultures. On the net hung a few pieces of colored glass, which were collected by Thompson from a nearby river in her childhood in Alaska. The two ends of the net were respectively decorated with a cedar cork and a graduation cord. The cork is a heirloom that traced its history back to the 1950s, and the cord is Thompson’s own graduation cord. The linking of the past and present by the fishnet represented the essence of this artwork: “No matter how the world changes, the bond with my root always perseveres”.",human
"I talked to my friend Arnob on our way from Stewart center to Corec after class. Our conversation was mainly about workout (as we’re heading to the gym), especially on the workout menu and his comment on using testosterone. We’re walking and talking so we don’t always face each other, but I always look into his eyes when I’m making a point. Recently Arnob started to use testosterone and tried to convince me to join him. I joked around and tried to divert the topic as long as possible, I didn’t want to straight up reject him and hurt his feelings. I can relate to him because he was also fat like me, it took him 4 years in the gym to be buffed as he is today. He got into a bottleneck recently as he could not get any stronger without medication, and testosterone was his way out. However, in the end he pushed too hard and I had to tell him with a straight face, I don’t want to use any drug, whether it is steroids or testosterone. He backed down for now but I’m pretty sure he will pick this up some other day, that is just who he is.",human
"The picture on the bottom left is a Taiwanese teenager making a mockery out of the president during an interview. His reaction is the portrayal of how most young Taiwaneses feel about this country nowadays: absurd. The ruling party only cares about elections, the birth rate is dropping, the economy is crumbling, the mafias are thriving, and these are just the tip of the iceberg. It is so desperate and so beyond saving that it makes us want to laugh, as it is the only thing we can do in this farcical society. The political and historical background of Taiwan is one of the major reasons why I choose to study abroad. The image on the top right is my middle school classroom, and it is taken at 8 p.m. Taiwan, like the rest of other east asian countries, is an examination hell. Private schools forced students as young as middle schoolers to stay at school and study until 10 p.m.; while public schools don’t have such rules, students generally go to cram schools afterwards. This type of cramming education is another major factor that goaded me to leave Taiwan.",human
